На 01 января 2015 года;;;;;;;;;;;;;
Листинг;Дата включения в список;Эмитент;ИНН;Ценная бумага;Тип ценной бумаги;Гос. рег. номер;Дата регистрации;Номинал;Объем;Торговый код;Дата погашения;Дата начала торгов;Предназначение для квалинвесторов
Первый уровень;09.06.2014;ОАО «СОЛЛЕРС»;3528079131;Акции обыкновенные;Акция обыкновенная;1-01-02461-D;19.04.2002;12.5;34 270 159;SVAV;;;
Первый уровень;09.06.2014;FinEx Funds plc/FinEx Capital Management LLP (ФинЭкс Фандс плс/ФинЭкс Кэпитал Менеджмент ЛЛП);1000000016;Паи/акции открытого иностранного Биржевого инвестиционного фонда ФинЭкс MSCI акций Великобритании (UCITS ETF) (FinEx MSCI United Kingdom UCITS ETF);Паи/акции иностранного биржевого инвестиционного фонда;;;;;FXUK;;;
Первый уровень;09.06.2014;FinEx Funds plc/FinEx Capital Management LLP (ФинЭкс Фандс плс/ФинЭкс Кэпитал Менеджмент ЛЛП);1000000016;Паи/акции открытого иностранного Биржевого инвестиционного фонда ФинЭкс MSCI акций Германии (UCITS ETF) (FinEx MSCI Germany UCITS ETF);Паи/акции иностранного биржевого инвестиционного фонда;;;;;FXDE;;;
Первый уровень;09.06.2014;FinEx Funds plc/FinEx Capital Management LLP (ФинЭкс Фандс плс/ФинЭкс Кэпитал Менеджмент ЛЛП);1000000016;"Паи/акции Биржевого инвестиционного фонда ФинЭкс российских ликвидных еврооблигаций (UCITS ETF, класс акций в долларах США) (FinEx Tradable Russian Corporate Bonds (UCITS ETF, USD class))
";Паи/акции иностранного биржевого инвестиционного фонда;;;;;FXRU;;;
Первый уровень;09.06.2014;FinEx Funds plc/FinEx Capital Management LLP (ФинЭкс Фандс плс/ФинЭкс Кэпитал Менеджмент ЛЛП);1000000016;Паи/акции Биржевого инвестиционного фонда ФинЭкс MSCI акций Китая (UCITS ETF, класс акций в долларах США) (FinEx MSCI China (UCITS ETF, USD Share Class));Паи/акции иностранного биржевого инвестиционного фонда;;;;150 000;FXCN;;;
Первый уровень;09.06.2014;FinEx Funds plc/FinEx Capital Management LLP (ФинЭкс Фандс плс/ФинЭкс Кэпитал Менеджмент ЛЛП);1000000016;Паи/акции открытого иностранного биржевого инвестиционного фонда ФинЭкс российских ликвидных еврооблигаций (UCITS ETF) (FinEx Tradable Russian Corporate Bonds UCITS ETF);Паи/акции иностранного биржевого инвестиционного фонда;;;;;FXRB;;;
Первый уровень;09.06.2014;FinEx Funds plc/FinEx Capital Management LLP (ФинЭкс Фандс плс/ФинЭкс Кэпитал Менеджмент ЛЛП);1000000016;Паи/акции открытого иностранного Биржевого инвестиционного фонда ФинЭкс MSCI акций Японии (UCITS ETF) (FinEx MSCI Japan UCITS ETF);Паи/акции иностранного биржевого инвестиционного фонда;;;;;FXJP;;;
Первый уровень;09.06.2014;Polymetal International plc (Полиметалл Интернэшнл плс);0010033331;Акции обыкновенные бездокументарные именные;Акции иностранного эмитента;;;;420 819 943;POLY;;;
Первый уровень;09.06.2014;Администрация Волгограда;3444059139;Муниципальные облигации Волгограда 2012 года с фиксированным купонным доходом и амортизацией долга;Облигация муниципальная;RU34006VGG1;14.08.2012;1000;1 000 000;RU000A0JSVC9;23.08.2017;;
Первый уровень;09.06.2014;Администрация Волгограда;3444059139;Муниципальные облигации Волгограда 2010 года с фиксированным купонным доходом и амортизацией долга;Облигация муниципальная;RU34005VGG1;13.12.2010;1000;1 000 000;RU000A0JR6K5;17.12.2015;;
Первый уровень;09.06.2014;Администрация муниципального образования город Краснодар;2310032246;Муниципальные облигации муниципального образования город Краснодар 2011 года  в форме документарных ценных бумаг на предъявителя с постоянным купонным доходом и амортизацией долга;Облигация муниципальная;RU34002KRA1;01.11.2011;1000;1 100 000;RU000A0JRVV1;05.11.2015;;
Первый уровень;09.06.2014;«Азиатско-Тихоокеанский Банк» (ОАО);2801023444;неконвертируемые процентные документарные облигации на предъявителя серии 01 с обязательным централизованным хранением;Облигация корпоративная;40101810B;29.12.2011;1000;1 500 000;RU000A0JS7F2;30.04.2015;;
Первый уровень;09.06.2014;«Азиатско-Тихоокеанский Банк» (ОАО);2801023444;биржевые облигации документарные процентные неконвертируемые на предъявителя с обязательным централизованным хранением серии БО-01;Облигация биржевая;4B020101810B;24.10.2012;1000;3 000 000;RU000A0JTN43;19.02.2016;;
Первый уровень;09.06.2014;"АК ""АЛРОСА"" (ОАО)";1433000147;акции обыкновенные;Акция обыкновенная;1-03-40046-N;25.08.2011;0.5;7 364 965 630;ALRS;;;
Первый уровень;09.06.2014;"АК ""АЛРОСА"" (ОАО)";1433000147;документарные процентные неконвертируемые биржевые облигации на предъявителя серии БО-02 с обязательным централизованным хранением;Облигация биржевая;4B02-02-40046-N;19.10.2012;1000;5 000 000;RU000A0JTA55;30.10.2015;;
Первый уровень;09.06.2014;"АК ""АЛРОСА"" (ОАО)";1433000147;документарные процентные неконвертируемые биржевые облигации на предъявителя серии БО-01 с обязательным централизованным хранением;Облигация биржевая;4B02-01-40046-N;19.10.2012;1000;5 000 000;RU000A0JTA48;30.10.2015;;
Первый уровень;09.06.2014;"АКБ ""Абсолют Банк"" (ОАО)";7736046991;биржевые процентные неконвертируемые документарные облигации на предъявителя  с обязательным  централизованным хранением серии БО-03;Облигация биржевая;4B020302306B;07.05.2013;1000;5 000 000;RU000A0JTXR1;28.05.2018;;
Первый уровень;09.06.2014;"АКБ ""Абсолют Банк"" (ОАО)";7736046991;процентные документарные неконвертируемые облигации на предъявителя серии 05 с обязательным централизованным хранением;Облигация корпоративная;40502306B;06.07.2011;1000;1 800 000;RU000A0JRNJ3;27.07.2016;;
Первый уровень;09.06.2014;"АКБ ""Абсолют Банк"" (ОАО)";7736046991;документарные процентные неконвертируемые Биржевые облигации на предъявителя с обязательным централизованным хранением серии БО-02, c возможностью досрочного погашения по требованию владельцев и по усмотрению Эмитента;Облигация биржевая;4B020202306B;14.10.2011;1000;3 000 000;RU000A0JS5N0;26.03.2015;;
Первый уровень;09.06.2014;"АКБ ""Абсолют Банк"" (ОАО)";7736046991;документарные процентные неконвертируемые Биржевые облигации на предъявителя с обязательным централизованным хранением серии БО-01, c возможностью досрочного погашения по требованию владельцев и по усмотрению Эмитента;Облигация биржевая;4B020102306B;14.10.2011;1000;5 000 000;RU000A0JRXT1;20.12.2015;;
Первый уровень;09.06.2014;"АКБ ""Держава"" ОАО";7729003482;неконвертируемые процентные документарные Биржевые облигации на предъявителя серии БО-01 с обязательным централизованным хранением;Облигация биржевая;4B020102738B;18.06.2013;1000;1 000 000;RU000A0JU0B2;10.07.2023;;
Первый уровень;09.06.2014;"АКБ ""РУССЛАВБАНК"" (ЗАО)";7706193043;Облигации процентные документарные неконвертируемые на предъявителя серии 01 с обязательным централизованным хранением, со сроком погашения в 1820-й (одна тысяча восемьсот двадцатый) день с даты начала размещения облигаций, с возможностью досрочного погашения по требованию владельцев;Облигация корпоративная;40101073B;27.06.2013;1000;1 500 000;RU000A0JU245;30.07.2018;;
Первый уровень;09.06.2014;АО АКБ «НОВИКОМБАНК»;7706196340;биржевые облигации документарные процентные неконвертируемые на предъявителя серии БО-04 с обязательным централизованным хранением;Облигация биржевая;4B020402546B;06.06.2011;1000;2 000 000;RU000A0JT486;11.10.2015;;
Первый уровень;09.06.2014;АО АКБ «НОВИКОМБАНК»;7706196340;биржевые облигации документарные процентные неконвертируемые на предъявителя серии БО-03 с обязательным централизованным хранением;Облигация биржевая;4B020302546B;06.06.2011;1000;3 000 000;RU000A0JTU44;08.04.2016;;
Первый уровень;09.06.2014;"АО ""ОТП Банк""";7708001614;биржевые облигации документарные процентные неконвертируемые на предъявителя с обязательным централизованным хранением серии БО-02;Облигация биржевая;4B020202766B;15.07.2011;1000;6 000 000;RU000A0JRV86;03.03.2015;;
Первый уровень;09.06.2014;АО ЮниКредит Банк;7710030411;неконвертируемые процентные документарные облигации на предъявителя без обеспечения с обязательным централизованным хранением серии 05 без возможности досрочного погашения;Облигация корпоративная;40500001B;09.06.2010;1000;5 000 000;RU000A0JR0R3;01.09.2015;;
Первый уровень;09.06.2014;"Банк ""Возрождение"" (ОАО)";5000001042;Акции обыкновенные;Акция обыкновенная;10101439B;12.04.1991;10;23 748 694;VZRZ;;;
Первый уровень;09.06.2014;"""Банк ""МБА-МОСКВА"" ООО";7744001828;документарные процентные неконвертируемые облигации на предъявителя серии 01 с обязательным централизованным хранением;Облигация корпоративная;40103395B;19.12.2012;1000;3 000 000;RU000A0JTZ64;23.06.2016;;
Первый уровень;09.06.2014;Банк НФК (ЗАО);7750004104;документарные процентные неконвертируемые биржевые облигации на предъявителя серии БО-02;Облигация биржевая;4B020203437B;08.11.2010;1000;2 000 000;RU000A0JU7Q5;17.10.2016;;
Первый уровень;09.06.2014;Департамент финансов Костромской области;4401006423;среднесрочные государственные облигации Костромской области 2011 года с постоянным купонным доходом и амортизацией долга;Облигация субфедеральная;RU34006KOS0;14.11.2011;1000;4 000 000;RU000A0JRWS5;17.11.2016;;
Первый уровень;09.06.2014;Департамент финансов Костромской области;4401006423;среднесрочные государственные облигации Костромской области 2013 года с фиксированным купонным доходом и амортизацией долга;Облигация субфедеральная;RU34007KOS0;24.09.2013;1000;4 000 000;RU000A0JU6N4;28.09.2018;;
Первый уровень;09.06.2014;Департамент финансов Томской области;7000000885;Государственные облигации Томской области в форме документарных ценных бумаг на предъявителя с фиксированным купонным доходом и амортизацией долга;Облигация субфедеральная;RU34045TMS0;13.12.2012;1000;5 000 000;RU000A0JTGD6;19.12.2017;;
Первый уровень;09.06.2014;ДФ ЯО;7604002902;государственные облигации Ярославской области 2012 года в форме документарных ценных бумаг на предъявителя с фиксированным купонным доходом и амортизацией долга;Облигация субфедеральная;RU34011YRS0;16.08.2012;1000;3 000 000;RU000A0JSU45;21.08.2015;;
Первый уровень;09.06.2014;ДФ ЯО;7604002902;государственные облигации Ярославской области 2013 года в форме документарных ценных бумаг на предъявителя с фиксированным купонным доходом и амортизацией долга;Облигация субфедеральная;RU34012YRS0;12.07.2013;1000;5 000 000;RU000A0JU0W8;13.07.2018;;
Первый уровень;09.06.2014;Евразийский банк развития;9909220306;Документарные процентные неконвертируемые облигации серии 03 на предъявителя с обязательным централизованным хранением, размещаемые путем открытой подписки;Облигации иностранного эмитента;;08.10.2009;1000;5 000 000;RU000A0JQH85;25.10.2016;;
Первый уровень;09.06.2014;Евразийский банк развития;9909220306;Документарные процентные неконвертируемые облигации серии 07 на предъявителя с обязательным централизованным хранением, размещаемые путем открытой подписки;Облигации иностранного эмитента;;21.08.2012;1000;5 000 000;RU000A0JS8Z8;23.09.2020;;
Первый уровень;09.06.2014;Евразийский банк развития;9909220306;Документарные процентные неконвертируемые облигации серии 05 на предъявителя с обязательным централизованным хранением, размещаемые путем открытой подписки;Облигации иностранного эмитента;;21.08.2012;1000;5 000 000;RU000A0JS8X3;15.07.2020;;
Первый уровень;09.06.2014;Евразийский банк развития;9909220306;Документарные процентные неконвертируемые Облигации серии 02 на предъявителя с обязательным централизованным хранением;Облигации иностранного эмитента;;08.10.2009;1000;5 000 000;RU000A0JR043;21.02.2019;;
Первый уровень;09.06.2014;Евразийский банк развития;9909220306;документарные процентные неконвертируемые Облигации серии 04 на предъявителя с обязательным централизованным хранением;Облигации иностранного эмитента;;08.10.2009;1000;5 000 000;RU000A0JR0Q5;06.02.2018;;
Первый уровень;09.06.2014;Евразийский банк развития;9909220306;Документарные процентные неконвертируемые облигации серии 08 на предъявителя с обязательным централизованным хранением, размещаемые путем открытой подписки;Облигации иностранного эмитента;;;1000;5 000 000;RU000A0JS900;07.10.2020;;
Первый уровень;09.06.2014;Евразийский банк развития;9909220306;Документарные процентные неконвертируемые облигации серии 06 на предъявителя с обязательным централизованным хранением, размещаемые путем открытой подписки;Облигации иностранного эмитента;;21.08.2012;1000;5 000 000;RU000A0JS8Y1;23.09.2020;;
Первый уровень;09.06.2014;Евразийский банк развития;9909220306;документарные процентные неконвертируемые облигации серии 09 на предъявителя с обязательным централизованным хранением;Облигации иностранного эмитента;;;1000;5 000 000;RU000A0JS918;24.05.2021;10.06.2014;
Первый уровень;09.06.2014;Евразийский банк развития;9909220306;Документарные процентные неконвертируемые облигации серии 01  на предъявителя с обязательным централизованным хранением, размещаемые путем открытой подписки;Облигации иностранного эмитента;4-01-00002-L;08.10.2009;1000;5 000 000;RU000A0JR050;28.01.2019;;
Первый уровень;09.06.2014;ЗАО «БАЛТИЙСКИЙ БЕРЕГ»;7826059025;облигации неконвертируемые процентные документарные на предъявителя с обязательным централизованным хранением серии 01;Облигация корпоративная;4-02-12372-J;28.12.2011;1000;1 000 000;RU000A0JTJ07;22.12.2017;;
Первый уровень;09.06.2014;"ЗАО ""Волга-Спорт""";5257116711;документарные неконвертируемые процентные облигации на предъявителя серии 01 с обязательным централизованным хранением;Облигация корпоративная;4-01-20468-P;27.01.2011;1000;1 400 000;RU000A0JRJC6;30.03.2022;;
Первый уровень;09.06.2014;ЗАО «ГК «Пионер»;7703635416;документарные процентные неконвертируемые облигации на предъявителя с обязательным централизованным хранением серии 01;Облигация корпоративная;4-01-67750-H;02.04.2013;1000;2 000 000;RU000A0JU8V3;26.10.2016;;
Первый уровень;09.06.2014;"ЗАО ""ГФТ ПИФ""";7719561939;Ипотечные сертификаты участия с ипотечным покрытием – «ИСУ-2»;Ипотечный сертификат участия;0004;21.11.2013;;1 000 000;RU000A0JUBX3;;;
Первый уровень;09.06.2014;"ЗАО ""ЕФГ Управление Активами""";7705918106;Ипотечные сертификаты участия ЕФГ;Ипотечный сертификат участия;0003;29.08.2013;;3 000 000;RU000A0JUA37;;;
Первый уровень;09.06.2014;"ЗАО ""О1 Пропертиз Финанс""";7722696870;облигации процентные документарные неконвертируемые на предъявителя с обязательным централизованным хранением серии 01;Облигация корпоративная;4-01-71827-H;18.04.2013;1000;6 000 000;RU000A0JU2F9;02.08.2018;;
Первый уровень;09.06.2014;"ЗАО ""РТК""";7710578825;документарная процентная неконвертируемая облигация на предъявителя с обязательным централизованным хранением серии 03;Облигация корпоративная;4-03-55811-H;28.12.2011;1000;5 000 000;RU000A0JS2T4;04.01.2027;;
Первый уровень;09.06.2014;"ЗАО ""РТК""";7710578825;документарные процентные неконвертируемые облигации на предъявителя серии 04 с обязательным централизованным хранением;Облигация корпоративная;4-04-55811-H;09.08.2012;1000;10 000 000;RU000A0JSXA9;18.08.2027;;
Первый уровень;09.06.2014;"ЗАО ССМО ""ЛенСпецСМУ""";7802084569;неконвертируемые процентные документарные облигации на предъявителя серии 02 с обязательным централизованным хранением;Облигация корпоративная;4-02-17644-J;20.11.2012;1000;5 000 000;RU000A0JTFX6;12.12.2017;;
Первый уровень;09.06.2014;"ЗАО ""УК ГФТ КАПИТАЛ""";7728595035;Ипотечные сертификаты участия с ипотечным покрытием – «ИСУ-1»;Ипотечный сертификат участия;0001;19.07.2012;;1 000 000;RU000A0JTX17;;;
Первый уровень;09.06.2014;"ЗАО ""УК ""ТРАНСФИНГРУП"" ";7708168370;"инвестиционные паи Закрытого паевого инвестиционного фонда смешанных инвестиций ""Спектр""";Пай закрытого ПИФа;1846-94164707;22.07.2010;;8 444 038,60915;RU000A0JR3X5;;;
Первый уровень;09.06.2014;"ЗАО ""УК ""ТФБ Капитал""";7709683208;"инвестиционные паи Закрытого рентного паевого инвестиционного фонда ""ТФБ-Рентный инвестиционный фонд""";Пай закрытого ПИФа;1444-94199456;02.06.2009;;219 755,25553;RU000A0JQY19;;;
Первый уровень;09.06.2014;ЗАО «Управление отходами»;7725727149;документарные неконвертируемые процентные облигации на предъявителя серии 01 с обязательным централизованным хранением;Облигация корпоративная;4-01-76600-H;24.10.2013;1000;2 800 000;RU000A0JU9K4;07.05.2024;;
Первый уровень;09.06.2014;"ЗАО ""Управление отходами-НН""";5260278039;облигации процентные документарные неконвертируемые на предъявителя с обязательным централизованным хранением серии 01;Облигация корпоративная;4-01-20453-P;20.03.2012;1000;1 000 000;RU000A0JS9X1;15.06.2022;;
Первый уровень;09.06.2014;ЗАО «ХОРУС ФИНАНС»;7719727648;облигации неконвертируемые процентные документарные на предъявителя серии 01 с обязательным централизованным хранением;Облигация корпоративная;4-01-71222-H;13.02.2014;1000;5 000 000;RU000A0JUH89;06.03.2019;;
